Model,Val_RMSE,Val_MAE,Val_R2,Train_Time,N_Features,Type,Params
Ridge (From Scratch),3.296190434896766,2.130906491103848,0.9754365956714058,0.015068292617797852,49,From Scratch,{'alpha': 10.0}
SGD (Sklearn),3.2985567143139076,2.1052159170428446,0.9754013157066702,9.142085552215576,49,Sklearn,"{'alpha': 0.001, 'max_iter': 1000}"
Ridge (Sklearn),3.299700548307962,2.134942875182143,0.9753842526744326,1.7836270332336426,49,Sklearn,{'alpha': 10.0}
Lasso (From Scratch),3.3018600177293647,2.096569687212161,0.9753520228723749,168.51777720451355,22,From Scratch,{'alpha': 0.01}
Lasso (Sklearn),3.3086916801881032,2.1207850007592497,0.9752499223241806,72.02472352981567,21,Sklearn,{'alpha': 0.01}
ElasticNet (Sklearn),3.3276615670172265,2.12688739008829,0.9749653070504729,113.80284690856934,24,Sklearn,"{'alpha': 0.01, 'l1_ratio': 0.8}"
ElasticNet (From Scratch),3.344424628384863,2.102466491886291,0.9747124477392388,368.99010396003723,25,From Scratch,"{'alpha': 0.01, 'l1_ratio': 0.8}"
SGD (From Scratch),3.4887326273111943,2.1407202608761353,0.9724831104133089,15.231812715530396,50,From Scratch,"{'learning_rate': 0.01, 'max_iter': 3000, 'alpha': 0.0}"
Baseline (Mean),22.295459942213554,12.551355985427998,-0.12382021421706035,0.0,0,Baseline,
Baseline (Median),24.473510890470948,13.8162218,-0.35411802793327185,0.0,0,Baseline,
